date,amount,category,description
10-10-2025,50.58,Expense,grocery
14-05-2025,5000.0,Income,Received as a gift
1-6-2025,100.0,Income, Freelance job
20-01-2025,1000.0,Income,New job
14-01-2025,7000.0,Income,Salary payment
28-01-2025,-2000.0,Expense,Rent payment
10-02-2025,5000.0,Income,Freelance project
22-02-2025,-1200.0,Expense,Groceries and utilities
05-03-2025,6500.0,Income,Investment returns
19-03-2025,-800.0,Expense,Entertainment
08-04-2025,7200.0,Income,Bonus received
25-04-2025,-1500.0,Expense,Travel expenses
14-05-2025,500.0,Income,Received as a gift
30-05-2025,-1100.0,Expense,Car maintenance
12-06-2025,8000.0,Income,Consulting fees
27-06-2025,-1300.0,Expense,Home improvement
09-07-2025,9500.0,Income,Profits from side business
24-07-2025,-700.0,Expense,Subscriptions and memberships
06-08-2025,6800.0,Income,Stock dividends
21-08-2025,-900.0,Expense,Dining out
11-09-2025,7400.0,Income,Bonus from company
26-09-2025,-1600.0,Expense,Healthcare expenses
07-10-2025,10200.0,Income,Real estate income
22-10-2025,-1900.0,Expense,Loan repayment
10-11-2025,7200.0,Income,Freelance payment
25-11-2025,-1700.0,Expense,Electronics purchase
05-12-2025,8000.0,Income,Year-end rewards
20-12-2025,-1400.0,Expense,Holiday shopping
